author_1,author_2,weight
UC-HeUTT6_g-VoiWds2a4H-w,UC-Iul5tDYH_oiAMXQH-KaaQ,1
UC-HeUTT6_g-VoiWds2a4H-w,UC0HvfEWozTHbwl_iEmJNvVA,1
UC-HeUTT6_g-VoiWds2a4H-w,UC14qlobYKqD-DO0j6b75lcA,1
UC-HeUTT6_g-VoiWds2a4H-w,UC1NiEdJ7gk6FlDexIalWnGg,1
UC-HeUTT6_g-VoiWds2a4H-w,UC3YpzAr7pcdKC7BVFEpYzog,1
UC-HeUTT6_g-VoiWds2a4H-w,UC63tFvbQ_hJhGDi2nbjssjw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC-HeUTT6_g-VoiWds2a4H-w,UCFybmWapGvBKcQod7cPPH9w,1
UC-HeUTT6_g-VoiWds2a4H-w,UCRfkkatKrNtAARnXMMYBGlA,1
UC-HeUTT6_g-VoiWds2a4H-w,UCV3fr-YOixFKCZBbJP1-X4w,1
UC-HeUTT6_g-VoiWds2a4H-w,UCWaRixDdpgllTBf4V0jPnKQ,1
UC-HeUTT6_g-VoiWds2a4H-w,UCWvntqPQx99k_Z_skWKqNSA,1
UC-HeUTT6_g-VoiWds2a4H-w,UCZFQwqh90apuL8eFhvRBkUg,1
UC-HeUTT6_g-VoiWds2a4H-w,UCa36MjQLoPAmgJo-R3G8WQA,1
UC-HeUTT6_g-VoiWds2a4H-w,UCaT4saRcyqCLE657Rq2hhZQ,1
UC-HeUTT6_g-VoiWds2a4H-w,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC-HeUTT6_g-VoiWds2a4H-w,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC-HeUTT6_g-VoiWds2a4H-w,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC-HeUTT6_g-VoiWds2a4H-w,UChyps3dqY-VY1_wLeq-2lhw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCiOZX__1gahg1ypIj0_XG_w,1
UC-HeUTT6_g-VoiWds2a4H-w,UCjZgFEowMBrsjodqfovzdKw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC-HeUTT6_g-VoiWds2a4H-w,UCp29O_C7cchZV8IxV7Crdag,1
UC-HeUTT6_g-VoiWds2a4H-w,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC-HeUTT6_g-VoiWds2a4H-w,UCtCtts20bW6F9CSohau51Iw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC-HeUTT6_g-VoiWds2a4H-w,UCvDwJBBY1mHK70aTEYl6rsA,1
UC-HeUTT6_g-VoiWds2a4H-w,UCwxoKK59nGCeBqB2sXfDBIw,1
