video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,author_handle_decoded,like_count,dataset_sources_lista,texto_original,emojis_extraidos,texto_limpio,idioma,longitud_palabras
j43HgwYFKfk,Ugw-J65a1iYL9hqhELh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MarcosCarillo-b1r,hace 6 meses, ,0,/@MarcosCarillo-b1r,0,"['j43HgwYFKfk_out_comments.csv', 'quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']",Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,[],corrupto amigo viejo fiscal verbo él carcel,es,7
06mFNPU0aB8,Ugw-ZT9t9wU2V-tCaUZ4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,UCvl1tzQeBeGy6efPTRJXSCw,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@RaulPerez-cw2vi,hace 2 semanas, ,0,/@RaulPerez-cw2vi,0,"['youtube_guatemala_comments.csv', 'youtube_guatemala_plus_comments.csv']","Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",[],joven buscar trabajo suerte policía gustar var ir vestir mujer ensamblar maquinaria,es,12
j43HgwYFKfk,Ugw0xaOb2CYXXoudtwJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@iamjimalesssa,hace 1 año,4,0,/@iamjimalesssa,4,"['j43HgwYFKfk_out_comments.csv', 'quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']","Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",[],dejar gana demandar ilegalidad reunión virtual maquila,es,7
j43HgwYFKfk,Ugw0xgUc2ISpBr5_T654AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,UCkbsS_3D-pvg1iHOld9uvIg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@gonzalo6075,hace 1 año, ,0,/@gonzalo6075,0,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']",Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,[],ver mafioso mazariego cárcel buen tiempo sombra,es,7
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,"eso es para que salga de USA por su propio pie 
que se auto deporten",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@luisroldan7374,hace 1 día,2,1,/@luisroldan7374,2,"['youtube_guatemala_comments.csv', 'youtube_guatemala_plus_comments.csv']",eso es para que salga de USA por su propio pie  que se auto deporten,[],salir usa propio pie auto deportar,es,6
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,UCi2KiZq63sRq8Mfbcp-MelQ,Imagine if they had to walk back home.,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@eugeneramirez4405,hace 20 horas, ,0,/@eugeneramirez4405,0,"['youtube_guatemala_comments.csv', 'youtube_guatemala_plus_comments.csv']",Imagine if they had to walk back home.,[],imagine if they had to walk back home,en,8
yLZS3JiEBg8,Ugw2014OIYf336oytFt4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@capitanfrans,hace 2 años, ,0,/@capitanfrans,0,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']",buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,[],buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,es,14
n8iP75gIpmw,Ugw2bSVOoNn2pc8ZcUl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@danyraymundo2942,hace 2 años,3,0,/@danyraymundo2942,3,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']","Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",[],llevar lonchera sacrifiquensar reintevren dinero robar,es,6
lj983NWyAQY,Ugw3gnUvLp6AqO0_odt4AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,UCgLurCo-e019HGODcjXHWCw,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@perritojuega1,hace 5 años,2,0,/@perritojuega1,2,"['lj983NWyAQY_out_comments.csv', 'youtube_guatemala_plus_comments.csv']",Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,"['🇬🇹', '🇬🇹', '🇬🇹', '🥳', '🥳', '🥳']",vivo guatemala bandera guatemala bandera guatemala bandera guatemala cara fiesta cara fiesta cara fiesta,indeterminado,14
n8iP75gIpmw,Ugw4C1ijI36l6LAiSZh4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,LADRONES !!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lizardomorataya8274,hace 2 años, ,0,/@lizardomorataya8274,0,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']",LADRONES !!!!,[],ladrón,indeterminado,1
ndAZjHqzzT8,Ugw4St_YnT9_Ya5xSPt4AaABAg,Internet: escoger el menos malo,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@daniloarevalo3170,UCZOmq6MwFDVoCaEl99BRRaw,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@daniloarevalo3170,hace 1 año, ,0,/@daniloarevalo3170,0,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']","Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵","['🤮', '🤮', '😠', '😠', '💵', '💵']",pequeño truco tenés plan mensual gb red ilimitado luego mandan mensaje consumistir plan ahi venir caos verifica consumo dato solo utilizar red mínimo internet ende hacer recarga adicional ir averiguar solo decir consumistir dato recargar negoció redondo ambos empresa carar vomitar cara vomitar cara enfadado cara enfadado billete dólar billete dólar,es,51
6W4u8sGEnGM,Ugw4ccnmIWJaE6VNRWN4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,Que bien que cambio de nombre,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@vitalianochavez8382,hace 5 días,1,0,/@vitalianochavez8382,1,"['youtube_guatemala_plus_comments.csv', 'youtube_lab_targets_small_comments.csv']",Que bien que cambio de nombre,[],bien cambio nombre,es,3
n8iP75gIpmw,Ugw5E402-fn52PLXFIJ4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@andyB5280,UCh5ESQvtzyHDhCA7XyekCFA,Tiene un poquito de oro y no habla como resolver los problemas .,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@andyB5280,hace 2 años, ,0,/@andyB5280,0,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']",Tiene un poquito de oro y no habla como resolver los problemas .,[],poquito oro hablar resolver problema,es,5
n8iP75gIpmw,Ugw5URsiAF9QVoniY-l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@cesarandreas7824,UCWIZUtKJ636y-4TYrNvok0g,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@cesarandreas7824,hace 2 años,5,0,/@cesarandreas7824,5,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']","Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",[],si diputado alcanzar sueldo buscar trabajo departamento capital,es,8
n8iP75gIpmw,Ugw5xMAuDaygo77ynI94AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@jor77cas,UCzoL2l5H5eVlorWGH8AZfAg,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@jor77cas,hace 2 años (editado),6,0,/@jor77cas,6,"['quorum_complete_comments.csv', 'youtube_guatemala_plus_comments.csv']","Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",[],lamentable excusa reclamar ver trabajo realizar sueldon costear propio alimento ir restaurante lujo pueblo luchar llevar pan mesa llegar,es,19
