author_channel_id,author_name,n_comentarios,n_videos,grado
UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,1.0,1.0,31
UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,1.0,1.0,31
UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,2.0,1.0,17
UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,1.0,1.0,48
UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,1.0,1.0,127
UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,1.0,1.0,127
UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,1.0,1.0,127
UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,1.0,1.0,6
UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,1.0,1.0,31
UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,1.0,1.0,24
UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,1.0,1.0,24
UC14qlobYKqD-DO0j6b75lcA,@megavision4488,1.0,1.0,31
UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,1.0,1.0,48
UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,1.0,1.0,31
UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,1.0,1.0,17
UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,1.0,1.0,18
UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,1.0,1.0,127
UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,1.0,1.0,127
UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,1.0,1.0,12
UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,1.0,1.0,127
UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,1.0,1.0,48
UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,1.0,1.0,127
UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,1.0,1.0,127
UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,1.0,1.0,127
UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,1.0,1.0,48
UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,3.0,1.0,127
UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,1.0,1.0,31
UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,1.0,1.0,6
UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,1.0,1.0,127
UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,1.0,1.0,48
UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,1.0,1.0,127
UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,1.0,1.0,6
UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,1.0,1.0,127
UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,5.0,1.0,127
UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,1.0,1.0,6
UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,1.0,1.0,24
UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,1.0,1.0,127
UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,1.0,1.0,24
UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,1.0,1.0,48
UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,1.0,1.0,9
UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,1.0,1.0,31
UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,1.0,1.0,127
UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,1.0,1.0,127
UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,1.0,1.0,48
UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,1.0,1.0,127
UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,1.0,1.0,0
UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,3.0,1.0,127
UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,2.0,1.0,18
UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,1.0,1.0,127
UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,1.0,1.0,48
UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,1.0,1.0,48
UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,1.0,1.0,127
UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,1.0,1.0,127
UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,1.0,1.0,127
UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,1.0,1.0,18
UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,1.0,1.0,48
UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,1.0,1.0,6
UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,4.0,1.0,127
UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,1.0,1.0,127
UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,1.0,1.0,127
UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,1.0,1.0,48
UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,1.0,1.0,18
UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,1.0,1.0,127
UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,1.0,1.0,127
UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,2.0,1.0,12
UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,1.0,1.0,127
UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,2.0,1.0,17
UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,1.0,1.0,6
UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,1.0,1.0,48
UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,1.0,1.0,15
UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,1.0,1.0,127
UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,1.0,1.0,127
UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,1.0,1.0,127
UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,1.0,1.0,127
UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,1.0,1.0,127
UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,1.0,1.0,127
UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,1.0,1.0,127
UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,1.0,1.0,48
UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,1.0,1.0,31
UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,1.0,1.0,127
UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,1.0,1.0,127
UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,1.0,1.0,6
UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,1.0,1.0,24
UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,1.0,1.0,127
UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,1.0,1.0,127
UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,3.0,1.0,127
UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,1.0,1.0,127
UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,1.0,1.0,127
UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,1.0,1.0,31
UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,1.0,1.0,48
UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,1.0,1.0,18
UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,1.0,1.0,17
UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,1.0,1.0,5
UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,1.0,1.0,6
