Red,Componente,Tamano,Porcentaje
Bipartita,1,286,81.48
Bipartita,2,26,7.41
Bipartita,3,19,5.41
Bipartita,4,5,1.42
Bipartita,5,4,1.14
Bipartita,6,3,0.85
Bipartita,7,2,0.57
Bipartita,8,2,0.57
Bipartita,9,2,0.57
Bipartita,10,2,0.57
Autor-Autor,1,276,83.13
Autor-Autor,2,25,7.53
Autor-Autor,3,18,5.42
Autor-Autor,4,4,1.2
Autor-Autor,5,3,0.9
Autor-Autor,6,2,0.6
Autor-Autor,7,1,0.3
Autor-Autor,8,1,0.3
Autor-Autor,9,1,0.3
Autor-Autor,10,1,0.3
Video-Video,1,10,52.63
Video-Video,2,1,5.26
Video-Video,3,1,5.26
Video-Video,4,1,5.26
Video-Video,5,1,5.26
Video-Video,6,1,5.26
Video-Video,7,1,5.26
Video-Video,8,1,5.26
Video-Video,9,1,5.26
Video-Video,10,1,5.26
