Red,Nodo,Grado
Bipartita-Autores,UC6Uj1FT5JjDSF8vudvDxPAA,1
Bipartita-Autores,UC1NiEdJ7gk6FlDexIalWnGg,1
Bipartita-Autores,UCbYoNG5J3Au5BqtbXogfEFw,1
Bipartita-Autores,UCfXykdbSU97rj987LDUGfvg,1
Bipartita-Autores,UCW-JC6lebVmf2P1dmY_L94g,1
Bipartita-Autores,UCXr8_5WtGeipe4haOoQDgyQ,1
Bipartita-Autores,UCBlm80VQ4YoV3bUJR_XhkaQ,1
Bipartita-Autores,UCdFlugHJJa4l3YqWuNRmvXw,2
Bipartita-Autores,UCgvw7xIdGFupzpt1Y_BFkEA,1
Bipartita-Autores,UCfM3nrxtTQMY5jFx1v1J4Gg,1
Bipartita-Autores,UCRcSR3Lvn9DZAmJpVPANfZQ,1
Bipartita-Autores,UCsSXdJct-nsS8DsABoEsaYA,1
Bipartita-Autores,UCe8JZoYkX5oKUZyivHYdXhw,1
Bipartita-Autores,UCbNanjFI51cwGqMAb2rOrBw,1
Bipartita-Autores,UC-hfX8J5JPJ-dfuakzegMLA,1
Bipartita-Autores,UCpIdtvoFHVLGASGB5ySqIEA,1
Bipartita-Autores,UCFjudnPLoaSL1BaRuLahyHg,1
Bipartita-Autores,UCLFdHr9BEbXHkoJopbEPLZw,1
Bipartita-Autores,UC7dadZG7kkGYnsNu6td0FbA,1
Bipartita-Autores,UCXgr7vXlRrsaskPdo097kGA,1
Bipartita-Autores,UCvl1tzQeBeGy6efPTRJXSCw,1
Bipartita-Autores,UCLXYp1Cvc5DLtq5UQL5D9vw,1
Bipartita-Autores,UCAV7QIjYhbDJaycQycM_0eQ,1
Bipartita-Autores,UCgQw_Sbq3ugruDUKsq1e0-A,1
Bipartita-Autores,UC95PSMouTx2N5CbSq0hIyrQ,1
Bipartita-Autores,UCut6b9S98nv84cVX89PmKzA,1
Bipartita-Autores,UCCUmP4PlbwgikVFpYwbtRTg,1
Bipartita-Autores,UChZknRmJkeGeQk0-mQuhDOg,1
Bipartita-Autores,UCRvPToDkkumha7WJAfCDk1A,1
Bipartita-Autores,UC3YpzAr7pcdKC7BVFEpYzog,1
Bipartita-Autores,UCoGdCoJg2Lh0OX_jv6cG16g,1
Bipartita-Autores,UCozFYHN0e_-vlQbX3wQGOug,1
Bipartita-Autores,UCGGHbtfbbe0o68etrOf0qxw,1
Bipartita-Autores,UCyor0Mmm0ivLX2jIdyGp84Q,1
Bipartita-Autores,UCs_5qeqdku9tGAq22y3OcuQ,1
Bipartita-Autores,UCNBnKqWf4d-rS4HwJRQljmQ,1
Bipartita-Autores,UC8G5cJONY8L9voMyBW8Eoug,1
Bipartita-Autores,UCFUuDARXdmmIrLppEqf-rFg,1
Bipartita-Autores,UCDQaQv0hr2SS_PO-CMEwVHg,1
Bipartita-Autores,UCAmtbUiIrUIhikru0ZoTFig,1
Bipartita-Autores,UCxff05WuyvwELNITi7bj7UA,1
Bipartita-Autores,UC9Wp6vL5oCU37qC3Aj94WZA,1
Bipartita-Autores,UC8F2V63KZ4ZEay6opX2hAQw,1
Bipartita-Autores,UCj-LL25XJnjxepPKCc3NGog,1
Bipartita-Autores,UCRETAiYdh2dL5ZxB0_N1zDA,1
Bipartita-Autores,UChyps3dqY-VY1_wLeq-2lhw,1
Bipartita-Autores,UCOLGv5Pf6BF2wFcwUzgcvHg,1
Bipartita-Autores,UC5PyGvSfFM--OVKmQ3COu6g,1
Bipartita-Autores,UCZeIIQrGAedW8tCbKWmGY-A,1
Bipartita-Autores,UCi2KiZq63sRq8Mfbcp-MelQ,1
Bipartita-Autores,UCz3gu01bmjNv0DpRq-K3XYg,1
Bipartita-Autores,UCCaYwkkbQGcvFoUmothVdQQ,1
Bipartita-Autores,UCgQJgI9vu1FI2dnC9mrFthw,1
Bipartita-Autores,UCKVzDUqbtdSMBcexaEtMmzQ,1
Bipartita-Autores,UCFOxCyF926Y9eHhMeVoWLzw,1
Bipartita-Autores,UCFybmWapGvBKcQod7cPPH9w,1
Bipartita-Autores,UCg3eIfd7BrsLEqS0BLkftHA,1
