author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UC-HeUTT6_g-VoiWds2a4H-w,2,61,31,@JorgeMunoz-gd9et,1.0,1.0
UC-Iul5tDYH_oiAMXQH-KaaQ,2,61,31,@AlbertoMancilla-p9h,1.0,1.0
UC-QOpE7GOxlXcHZ8b7HbQKA,6,18,17,@mariaalexander427,2.0,1.0
UC-fiZBS5Gp1eCJd9ucgWnCg,3,55,48,@Tommii.10,1.0,1.0
UC-hfX8J5JPJ-dfuakzegMLA,1,126,127,@normaleticiaorozcojuarez2418,1.0,1.0
UC-jS_kA9w-OmpupXDx156Rg,1,126,127,@simoncreyesc7579,1.0,1.0
UC-pNP6RMFuLg_-x7Ah_0kEA,1,126,127,@almacatalan2717,1.0,1.0
UC094EFEmMSdwVa8NQjjYBXg,7,6,6,@CelestinoQuej-j7k,1.0,1.0
UC0HvfEWozTHbwl_iEmJNvVA,2,61,31,@OttoPalencia-b7r,1.0,1.0
UC0RpuMwkDKJYqgKHtsJRuWQ,5,25,24,@sabinamarinaguerra3248,1.0,1.0
UC0aEyakBPqcBkVJiErfSupQ,5,25,24,@jhonymanuel9891,1.0,1.0
UC14qlobYKqD-DO0j6b75lcA,2,61,31,@megavision4488,1.0,1.0
UC1DpqK6vaPEkBOMNvypsKYg,3,55,48,@HectorCarranza-u4j4o,1.0,1.0
UC1NiEdJ7gk6FlDexIalWnGg,2,61,31,@BorisTebalán,1.0,1.0
UC1WlJfQmaIskYhP4gmWoamw,6,18,17,@marthareiss5434,1.0,1.0
UC1Y7x3h0c95Z8kUhi-Tzaeg,2,61,18,@rosadiaz9235,1.0,1.0
UC1vr9aaMI2crB0NvwFHUeoQ,1,126,127,@JoseSimilox-p6e,1.0,1.0
UC2Y_EHWQKevubk4vOEBBFxw,1,126,127,@alfonsomorales2653,1.0,1.0
UC2ngpd8UBQu4gcUYy0goAtg,2,61,12,@juliohernandez7438,1.0,1.0
UC2weSE8rpqkGMOp6StYtVfg,1,126,127,@katerynsantiago2907,1.0,1.0
UC32oozucwCF3q8d4m8fyOUg,3,55,48,@RauldejesusOlivagonzalez,1.0,1.0
UC3E9mAgP7VoAE5mZoAexl5g,1,126,127,@EnnioAroche,1.0,1.0
UC3MYTqpQqlWBuCB7Th0e0PA,1,126,127,@isaaclopez7220,1.0,1.0
UC3NMzdMYryaw82kPTnsaljg,1,126,127,@marisosa7832,1.0,1.0
UC3UVO7pTbeYvZ3ILEyRDskQ,3,55,48,@rosaelenaargueta79,1.0,1.0
UC3XTwHxygNCgjndsg-UiCQA,1,126,127,@marioajset4283,3.0,1.0
UC3YpzAr7pcdKC7BVFEpYzog,2,61,31,@carmenfigueroa1232,1.0,1.0
UC3iIU62XKUOWuqL8BqBzj9A,7,6,6,@antonioduarte2288,1.0,1.0
UC3qn1yJA5PeW9rkGPatQxiw,1,126,127,@VICTOREST19,1.0,1.0
UC4Avya4kmR4Q0FrfFdBozSQ,3,55,48,@davidlima1348,1.0,1.0
UC4cXueR2bKGFJV0Fk76gwmA,1,126,127,@aluxdel4792,1.0,1.0
UC4kg7zuTfqQKLd2bkZrSYBA,3,55,6,@zoilagarcia9019,1.0,1.0
UC4wq3DcbfaG6dtCqn8Oyu3w,1,126,127,@hugoasencio7764,1.0,1.0
UC5H8ASmMC9WrURmzeB4ySog,1,126,127,@ManuelEdran,5.0,1.0
UC5PrBbmUlQolwqmiru7yZhw,7,6,6,@lazarochavez8269,1.0,1.0
UC5PyGvSfFM--OVKmQ3COu6g,5,25,24,@FreddyGmez,1.0,1.0
UC5bG9nc_JV3FsNP2KseQiYw,1,126,127,@giovannirodas4836,1.0,1.0
UC5fvhAfm89JH8eDFdvc0xYw,5,25,24,@isaidiaz2388,1.0,1.0
UC5hvEnRUzI4Kfvwnyi4QxqQ,3,55,48,@leonelsantizo5281,1.0,1.0
UC5wuDq3U3vRAhOQI3D7gNdw,4,28,9,@allanreneramirezgonzalez534,1.0,1.0
UC63tFvbQ_hJhGDi2nbjssjw,2,61,31,@AbigailRodas-w2r,1.0,1.0
UC650pRT-OYzny3GwOH8Cgfw,1,126,127,@edvinparedesherrera7632,1.0,1.0
UC6PvO1_k5lHKGdAPo5_C6TA,1,126,127,@johnmejia992,1.0,1.0
UC6Uj1FT5JjDSF8vudvDxPAA,3,55,48,@alfredoortega9264,1.0,1.0
UC6YSZqL0vEcI-niPKIMUGfw,1,126,127,@maxwellsales885,1.0,1.0
UC6xI_MOaxajIWpoP8BH6E_Q,11,1,0,@jahirdiaz5862,1.0,1.0
UC72gBAtyb_VXQlYDcFrh6oQ,1,126,127,@osmanmorales3012,3.0,1.0
UC7IMsCxfZyWN7YQo8-JYa6Q,2,61,18,@Burgos68,2.0,1.0
UC7VUuJr9cGh845CmTvf7TlQ,1,126,127,@LuisCastillo-oz4df,1.0,1.0
UC7dadZG7kkGYnsNu6td0FbA,3,55,48,@lesolorzano,1.0,1.0
UC816IGbFCZinfYS1LRDaaHg,3,55,48,@ingenieroar,1.0,1.0
UC8F2V63KZ4ZEay6opX2hAQw,1,126,127,@carmenr6311,1.0,1.0
UC8G5cJONY8L9voMyBW8Eoug,1,126,127,@luisparedes-pw6qt,1.0,1.0
UC8r11yOugM2NuRfitQOxLLg,1,126,127,@cesaraugustomoralesmonroy6907,1.0,1.0
UC8xlJWNHz1V_W6q3fbuQH8g,2,61,18,@NormaLópez-v7e,1.0,1.0
UC95PSMouTx2N5CbSq0hIyrQ,3,55,48,@lisss1908,1.0,1.0
UC9Wp6vL5oCU37qC3Aj94WZA,7,6,6,@ManuelSanchez-b8q2z,1.0,1.0
UC9vMq1YF-e7C-VO0SHkbUTA,1,126,127,@ErvinLeonardoCarreraLatín,4.0,1.0
UC9xr9QvIcDvoZNUX5f-jaZw,1,126,127,@MariaaliciaColonmorales,1.0,1.0
UCA93ym2TXs_Ibyxb4Vcn-6Q,1,126,127,@oswaldosolis8728,1.0,1.0
UCAKuKvcbfnBD3kF5njNu-IA,3,55,48,@melvinlopez7096,1.0,1.0
UCAV7QIjYhbDJaycQycM_0eQ,2,61,18,@mariavail8998,1.0,1.0
UCAlzM_N6xBlMYmM8EBzX86Q,1,126,127,@carlossoto3252,1.0,1.0
UCAmtbUiIrUIhikru0ZoTFig,1,126,127,@Aura-vf6dm,1.0,1.0
UCAxvOOHQk7dYPOajzFEVtbA,2,61,12,@ruddydepaz322,2.0,1.0
UCB5p8a5gklc80jJItP6xTHg,1,126,127,@ernestogamboa8737,1.0,1.0
UCBlm80VQ4YoV3bUJR_XhkaQ,6,18,17,@rosadiaz6945,2.0,1.0
UCBtB5dIyx-C16UN8ClUD2UA,3,55,6,@alexmonzon4257,1.0,1.0
UCCBYcToQ2dwkd6TJh0FSyDg,3,55,48,@lidiarodriguez3493,1.0,1.0
UCCUmP4PlbwgikVFpYwbtRTg,4,28,15,@alhvi,1.0,1.0
UCCaYwkkbQGcvFoUmothVdQQ,1,126,127,@OsvaldoAguirre-l3i,1.0,1.0
UCDIMztpVm7G27qBuiWuT6oQ,1,126,127,@lizardomorataya8274,1.0,1.0
UCDPWkUX3sNNaCx-m1dV4glA,1,126,127,@hectoroliva949,1.0,1.0
UCDQaQv0hr2SS_PO-CMEwVHg,1,126,127,@federicosaquimux1933,1.0,1.0
