community_id,numero_autores,total_comentarios,promedio_comentarios,total_videos,promedio_videos,grado_promedio_aa,grado_maximo,grado_minimo
1,126,161.0,1.28,128.0,1.02,127.19,145,127
2,61,83.0,1.36,63.0,1.03,24.13,49,12
3,55,60.0,1.09,59.0,1.07,48.27,183,6
4,28,33.0,1.18,31.0,1.11,12.46,28,5
5,25,25.0,1.0,25.0,1.0,24.0,24,24
6,18,25.0,1.39,18.0,1.0,17.0,17,17
7,6,6.0,1.0,6.0,1.0,6.0,6,6
8,4,4.0,1.0,4.0,1.0,3.0,3,3
9,3,3.0,1.0,3.0,1.0,2.0,2,2
10,2,2.0,1.0,2.0,1.0,1.0,1,1
11,1,1.0,1.0,1.0,1.0,0.0,0,0
12,1,1.0,1.0,1.0,1.0,0.0,0,0
13,1,1.0,1.0,1.0,1.0,0.0,0,0
14,1,1.0,1.0,1.0,1.0,0.0,0,0
