community_id,ranking,author_channel_id,author_name,n_comentarios,n_videos,grado_aa
1,1,UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,5.0,1.0,127
1,2,UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,4.0,1.0,127
1,3,UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,3.0,1.0,127
1,4,UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,3.0,1.0,127
1,5,UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,3.0,1.0,127
2,1,UCyJhqmMbsvjpoarBBStA2kg,@Murmullodelbarrio,6.0,1.0,31
2,2,UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,5.0,1.0,31
2,3,UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,3.0,1.0,18
2,4,UCg3eIfd7BrsLEqS0BLkftHA,@ErmePérez-q4s,3.0,1.0,18
2,5,UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,2.0,1.0,18
3,1,UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3.0,3.0,183
3,2,UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,3.0,2.0,174
3,3,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2.0,2.0,54
3,4,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,1.0,1.0,48
3,5,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,1.0,1.0,48
4,1,UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,4.0,3.0,28
4,2,UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,2.0,1.0,9
4,3,UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2.0,2.0,23
4,4,UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,1.0,1.0,9
4,5,UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,1.0,1.0,15
5,1,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,1.0,1.0,24
5,2,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,1.0,1.0,24
5,3,UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,1.0,1.0,24
5,4,UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,1.0,1.0,24
5,5,UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,1.0,1.0,24
6,1,UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,6.0,1.0,17
6,2,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,2.0,1.0,17
6,3,UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,2.0,1.0,17
6,4,UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,1.0,1.0,17
6,5,UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,1.0,1.0,17
7,1,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,1.0,1.0,6
7,2,UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,1.0,1.0,6
7,3,UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,1.0,1.0,6
7,4,UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,1.0,1.0,6
7,5,UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,1.0,1.0,6
8,1,UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,1.0,1.0,3
8,2,UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,1.0,1.0,3
8,3,UCld2stqxaVSk0QdGncM224A,@sarahernandez3873,1.0,1.0,3
8,4,UCtowGNY2lnlg6O2CkwDgkLg,@taniagabrielacelis8434,1.0,1.0,3
9,1,UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,1.0,1.0,2
9,2,UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,1.0,1.0,2
9,3,UCWWkebAekppaL5b5CNlppuw,@ninettmartinez425,1.0,1.0,2
10,1,UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,1.0,1.0,1
10,2,UCyor0Mmm0ivLX2jIdyGp84Q,@MiguelJordan-n3g,1.0,1.0,1
11,1,UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,1.0,1.0,0
12,1,UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,1.0,1.0,0
13,1,UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,1.0,1.0,0
14,1,UC_NRVt2UP88ZNTwzrZ66JSg,@aditalissethevasquezrojas8039,1.0,1.0,0
