community_id,ranking,canal,n_videos,n_participaciones,n_autores
1,1,Quorum,1,126,126
1,2,Gobierno de la República de Guatemala,1,1,1
1,3,PrensaLibreOficial,1,1,1
2,1,Gobierno de la República de Guatemala,2,50,49
2,2,Noti7,1,13,13
3,1,Quorum,3,52,49
3,2,TN23 Guatemala,1,7,7
4,1,Quorum,3,31,28
5,1,Municipalidad de Guatemala,1,25,25
6,1,Noticias Telemundo,1,18,18
7,1,PrensaLibreOficial,1,6,6
8,1,Quorum,1,4,4
9,1,Quorum,1,3,3
10,1,Noticiero Guatevisión 13 Hrs.,1,2,2
11,1,Quorum,1,1,1
12,1,Quorum,1,1,1
13,1,Quorum,1,1,1
14,1,Quorum,1,1,1
