community_id,ranking,video_id,titulo,canal,categoria,n_autores_comunidad
1,1,n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,126
1,2,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,1
1,3,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,1
2,1,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,32
2,2,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,18
2,3,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,13
3,1,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,49
3,2,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,7
3,3,n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,2
3,4,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,1
4,1,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,16
4,2,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,9
4,3,WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,News & Politics,6
5,1,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,25
6,1,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,18
7,1,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,6
8,1,TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,4
9,1,JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,3
10,1,3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,2
11,1,s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,1
12,1,X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1
13,1,zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,1
14,1,UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1
