video_id,titulo,canal,n_autores,delta_componentes_al_remover
n8iP75gIpmw,Qué rico come tu diputado,Quorum,128,126
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,49,47
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,32,31
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,25,24
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,19,18
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,18,17
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,16,14
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,13,12
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,10,8
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,7,6
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,7,6
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,6,5
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,4,3
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,3,2
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,2,1
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,1,0
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,1,0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,1,0
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,1,0
