video_title,NEG,NEU,POS,total,pct_NEG,pct_NEU,pct_POS
Qué rico come tu diputado,131,21,9,161,81.4,13.0,5.6
La cooptación de Walter Mazariegos en la USAC,29,11,10,50,58.0,22.0,20.0
Inician los trabajos de recuperación del Puente Belice II.,18,14,13,45,40.0,31.1,28.9
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,17,4,4,25,68.0,16.0,16.0
EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,16,6,3,25,64.0,24.0,12.0
Plan 2032 Ciudad de Guatemala,2,3,20,25,8.0,12.0,80.0
Arroz con pollo a la MONOPOLIO,9,2,5,16,56.2,12.5,31.2
Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,4,7,3,14,28.6,50.0,21.4
Internet: escoger el menos malo,4,3,5,12,33.3,25.0,41.7
Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,6,1,0,7,85.7,14.3,0.0
Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,6,1,0,7,85.7,14.3,0.0
Caminar en una ciudad hecha para carros,4,2,0,6,66.7,33.3,0.0
