id,bipartite,tipo,nombre,n_comentarios,n_videos,titulo,canal,categoria
UC-HeUTT6_g-VoiWds2a4H-w,autor,autor,@JorgeMunoz-gd9et,1.0,1.0,,,
UC-Iul5tDYH_oiAMXQH-KaaQ,autor,autor,@AlbertoMancilla-p9h,1.0,1.0,,,
UC-QOpE7GOxlXcHZ8b7HbQKA,autor,autor,@mariaalexander427,2.0,1.0,,,
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,autor,@Tommii.10,1.0,1.0,,,
UC-hfX8J5JPJ-dfuakzegMLA,autor,autor,@normaleticiaorozcojuarez2418,1.0,1.0,,,
UC-jS_kA9w-OmpupXDx156Rg,autor,autor,@simoncreyesc7579,1.0,1.0,,,
UC-pNP6RMFuLg_-x7Ah_0kEA,autor,autor,@almacatalan2717,1.0,1.0,,,
UC094EFEmMSdwVa8NQjjYBXg,autor,autor,@CelestinoQuej-j7k,1.0,1.0,,,
UC0HvfEWozTHbwl_iEmJNvVA,autor,autor,@OttoPalencia-b7r,1.0,1.0,,,
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,autor,@sabinamarinaguerra3248,1.0,1.0,,,
UC0aEyakBPqcBkVJiErfSupQ,autor,autor,@jhonymanuel9891,1.0,1.0,,,
UC14qlobYKqD-DO0j6b75lcA,autor,autor,@megavision4488,1.0,1.0,,,
UC1DpqK6vaPEkBOMNvypsKYg,autor,autor,@HectorCarranza-u4j4o,1.0,1.0,,,
UC1NiEdJ7gk6FlDexIalWnGg,autor,autor,@BorisTebalán,1.0,1.0,,,
UC1WlJfQmaIskYhP4gmWoamw,autor,autor,@marthareiss5434,1.0,1.0,,,
UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,autor,@rosadiaz9235,1.0,1.0,,,
UC1vr9aaMI2crB0NvwFHUeoQ,autor,autor,@JoseSimilox-p6e,1.0,1.0,,,
UC2Y_EHWQKevubk4vOEBBFxw,autor,autor,@alfonsomorales2653,1.0,1.0,,,
UC2ngpd8UBQu4gcUYy0goAtg,autor,autor,@juliohernandez7438,1.0,1.0,,,
UC2weSE8rpqkGMOp6StYtVfg,autor,autor,@katerynsantiago2907,1.0,1.0,,,
UC32oozucwCF3q8d4m8fyOUg,autor,autor,@RauldejesusOlivagonzalez,1.0,1.0,,,
UC3E9mAgP7VoAE5mZoAexl5g,autor,autor,@EnnioAroche,1.0,1.0,,,
UC3MYTqpQqlWBuCB7Th0e0PA,autor,autor,@isaaclopez7220,1.0,1.0,,,
UC3NMzdMYryaw82kPTnsaljg,autor,autor,@marisosa7832,1.0,1.0,,,
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,autor,@rosaelenaargueta79,1.0,1.0,,,
UC3XTwHxygNCgjndsg-UiCQA,autor,autor,@marioajset4283,3.0,1.0,,,
UC3YpzAr7pcdKC7BVFEpYzog,autor,autor,@carmenfigueroa1232,1.0,1.0,,,
UC3iIU62XKUOWuqL8BqBzj9A,autor,autor,@antonioduarte2288,1.0,1.0,,,
UC3qn1yJA5PeW9rkGPatQxiw,autor,autor,@VICTOREST19,1.0,1.0,,,
UC4Avya4kmR4Q0FrfFdBozSQ,autor,autor,@davidlima1348,1.0,1.0,,,
UC4cXueR2bKGFJV0Fk76gwmA,autor,autor,@aluxdel4792,1.0,1.0,,,
UC4kg7zuTfqQKLd2bkZrSYBA,autor,autor,@zoilagarcia9019,1.0,1.0,,,
UC4wq3DcbfaG6dtCqn8Oyu3w,autor,autor,@hugoasencio7764,1.0,1.0,,,
UC5H8ASmMC9WrURmzeB4ySog,autor,autor,@ManuelEdran,5.0,1.0,,,
UC5PrBbmUlQolwqmiru7yZhw,autor,autor,@lazarochavez8269,1.0,1.0,,,
UC5PyGvSfFM--OVKmQ3COu6g,autor,autor,@FreddyGmez,1.0,1.0,,,
UC5bG9nc_JV3FsNP2KseQiYw,autor,autor,@giovannirodas4836,1.0,1.0,,,
UC5fvhAfm89JH8eDFdvc0xYw,autor,autor,@isaidiaz2388,1.0,1.0,,,
UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,autor,@leonelsantizo5281,1.0,1.0,,,
UC5wuDq3U3vRAhOQI3D7gNdw,autor,autor,@allanreneramirezgonzalez534,1.0,1.0,,,
UC63tFvbQ_hJhGDi2nbjssjw,autor,autor,@AbigailRodas-w2r,1.0,1.0,,,
UC650pRT-OYzny3GwOH8Cgfw,autor,autor,@edvinparedesherrera7632,1.0,1.0,,,
UC6PvO1_k5lHKGdAPo5_C6TA,autor,autor,@johnmejia992,1.0,1.0,,,
UC6Uj1FT5JjDSF8vudvDxPAA,autor,autor,@alfredoortega9264,1.0,1.0,,,
UC6YSZqL0vEcI-niPKIMUGfw,autor,autor,@maxwellsales885,1.0,1.0,,,
UC6xI_MOaxajIWpoP8BH6E_Q,autor,autor,@jahirdiaz5862,1.0,1.0,,,
UC72gBAtyb_VXQlYDcFrh6oQ,autor,autor,@osmanmorales3012,3.0,1.0,,,
UC7IMsCxfZyWN7YQo8-JYa6Q,autor,autor,@Burgos68,2.0,1.0,,,
UC7VUuJr9cGh845CmTvf7TlQ,autor,autor,@LuisCastillo-oz4df,1.0,1.0,,,
UC7dadZG7kkGYnsNu6td0FbA,autor,autor,@lesolorzano,1.0,1.0,,,
UC816IGbFCZinfYS1LRDaaHg,autor,autor,@ingenieroar,1.0,1.0,,,
UC8F2V63KZ4ZEay6opX2hAQw,autor,autor,@carmenr6311,1.0,1.0,,,
UC8G5cJONY8L9voMyBW8Eoug,autor,autor,@luisparedes-pw6qt,1.0,1.0,,,
UC8r11yOugM2NuRfitQOxLLg,autor,autor,@cesaraugustomoralesmonroy6907,1.0,1.0,,,
UC8xlJWNHz1V_W6q3fbuQH8g,autor,autor,@NormaLópez-v7e,1.0,1.0,,,
UC95PSMouTx2N5CbSq0hIyrQ,autor,autor,@lisss1908,1.0,1.0,,,
UC9Wp6vL5oCU37qC3Aj94WZA,autor,autor,@ManuelSanchez-b8q2z,1.0,1.0,,,
UC9vMq1YF-e7C-VO0SHkbUTA,autor,autor,@ErvinLeonardoCarreraLatín,4.0,1.0,,,
UC9xr9QvIcDvoZNUX5f-jaZw,autor,autor,@MariaaliciaColonmorales,1.0,1.0,,,
UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,autor,@oswaldosolis8728,1.0,1.0,,,
UCAKuKvcbfnBD3kF5njNu-IA,autor,autor,@melvinlopez7096,1.0,1.0,,,
UCAV7QIjYhbDJaycQycM_0eQ,autor,autor,@mariavail8998,1.0,1.0,,,
UCAlzM_N6xBlMYmM8EBzX86Q,autor,autor,@carlossoto3252,1.0,1.0,,,
UCAmtbUiIrUIhikru0ZoTFig,autor,autor,@Aura-vf6dm,1.0,1.0,,,
UCAxvOOHQk7dYPOajzFEVtbA,autor,autor,@ruddydepaz322,2.0,1.0,,,
UCB5p8a5gklc80jJItP6xTHg,autor,autor,@ernestogamboa8737,1.0,1.0,,,
UCBlm80VQ4YoV3bUJR_XhkaQ,autor,autor,@rosadiaz6945,2.0,1.0,,,
UCBtB5dIyx-C16UN8ClUD2UA,autor,autor,@alexmonzon4257,1.0,1.0,,,
UCCBYcToQ2dwkd6TJh0FSyDg,autor,autor,@lidiarodriguez3493,1.0,1.0,,,
UCCUmP4PlbwgikVFpYwbtRTg,autor,autor,@alhvi,1.0,1.0,,,
UCCaYwkkbQGcvFoUmothVdQQ,autor,autor,@OsvaldoAguirre-l3i,1.0,1.0,,,
UCDIMztpVm7G27qBuiWuT6oQ,autor,autor,@lizardomorataya8274,1.0,1.0,,,
UCDPWkUX3sNNaCx-m1dV4glA,autor,autor,@hectoroliva949,1.0,1.0,,,
UCDQaQv0hr2SS_PO-CMEwVHg,autor,autor,@federicosaquimux1933,1.0,1.0,,,
UCDUffaruH6dyUnUGwsTKpgg,autor,autor,@luisletona2842,1.0,1.0,,,
UCDftMWXQoJ6nONfY7GVOVjg,autor,autor,@luisgpacheco5858,1.0,1.0,,,
UCDlr1VadSucIZgZ171pRBjQ,autor,autor,@cuabatzjj5924,1.0,1.0,,,
UCDrmf9y9nLgFY5wnA2hTuGA,autor,autor,@laboratorio5528,1.0,1.0,,,
UCEHXl4VvvVpq-_4xC5tsbhg,autor,autor,@anibalg47,1.0,1.0,,,
UCEgEQmRbtL5fwr9_DqAC--g,autor,autor,@ArielRodas-g5y,1.0,1.0,,,
UCErZPJpHmLCsXs8ZWkAUupQ,autor,autor,@dorisl.garciaroche7763,1.0,1.0,,,
UCFFrEmn6lPYiWyElpfzTy5Q,autor,autor,@denilsonlopez4083,1.0,1.0,,,
UCFOxCyF926Y9eHhMeVoWLzw,autor,autor,@arielsarc09,1.0,1.0,,,
UCFUuDARXdmmIrLppEqf-rFg,autor,autor,@allanmunoz7410,1.0,1.0,,,
UCFhxtoeARHPnXXPcDrOU3Xg,autor,autor,@diegoalejandrolopezmendez205,1.0,1.0,,,
UCFjudnPLoaSL1BaRuLahyHg,autor,autor,@HaroldoCastillo-rh9iw,3.0,1.0,,,
UCFoIAE8k82D6AV-8gjjKaNg,autor,autor,@eddymunoz9789,1.0,1.0,,,
UCFxE8GbokBrBsPEKM1xrOjQ,autor,autor,@JuanDavila-qd7qj,1.0,1.0,,,
UCFybmWapGvBKcQod7cPPH9w,autor,autor,@vitalianochavez8382,1.0,1.0,,,
UCGGHbtfbbe0o68etrOf0qxw,autor,autor,@karensussetteleonvargas9794,1.0,1.0,,,
UCGX_UbAQOXGZknv5iqklwTA,autor,autor,@ronaldgarcia8522,1.0,1.0,,,
UCGZMgmM92E3njyXNe9-kjAQ,autor,autor,@pasionpornada,1.0,1.0,,,
UCGj2v6Gl5bN8NSrzJMXS-CA,autor,autor,@juliogutierrez492,1.0,1.0,,,
UCGm3gRBEHGRJYmtCryZLtDw,autor,autor,@JoséLopez-g6k,1.0,1.0,,,
UCGqKxQS-z3NZzZF-2w338AA,autor,autor,@samuelaguilar529,1.0,1.0,,,
UCGzXwyCzMzGmjmCbH3Hg01Q,autor,autor,@FidelZacarias-ph7dy,1.0,1.0,,,
UCHGd14aYuZZShLD73dkk6mg,autor,autor,@noemiherrera3152,1.0,1.0,,,
UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,autor,@crislexrubi4387,1.0,1.0,,,
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,autor,@virgiliogarcia3039,3.0,2.0,,,
UCHbwIx9pmQuf7i-4_xO2EpA,autor,autor,@caminoseternos752,1.0,1.0,,,
UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,autor,@fredymendez1786,2.0,1.0,,,
UCHu8x4MVkayU6VgwVKd--MQ,autor,autor,@Hernandez-i1o,1.0,1.0,,,
UCIUhbSCy3-SGRe5UtqM4fzQ,autor,autor,@jeanmorales1677,1.0,1.0,,,
UCIXLDYqR_syskKRJy_x9W9Q,autor,autor,@carlitosramirez4739,1.0,1.0,,,
UCIgoiXdIKJyUGmUoH2Lxdzg,autor,autor,@susievidal4134,1.0,1.0,,,
UCIp19h9igblA2YKfSLPDAug,autor,autor,@JoseReyes-rn6sh,1.0,1.0,,,
UCJp3OrVYcBorC94sKwdch_A,autor,autor,@ULJoshmg2011,1.0,1.0,,,
UCJxJC56BSAX-ArD0NAb9qnQ,autor,autor,@alfonsowilian9157,1.0,1.0,,,
UCKDR0f2fu2UzWL8mBv5-BHw,autor,autor,@mireyamorales6595,1.0,1.0,,,
UCKVzDUqbtdSMBcexaEtMmzQ,autor,autor,@rotorairgroup8409,1.0,1.0,,,
UCL13XhnRzbGokEkCkEOb0-g,autor,autor,@raquelprado3643,2.0,1.0,,,
UCL1MT278vSaQ83ZDkVWn1gw,autor,autor,@elmorodriguez6978,1.0,1.0,,,
UCLFdHr9BEbXHkoJopbEPLZw,autor,autor,@kanterra4584,2.0,1.0,,,
UCLXYp1Cvc5DLtq5UQL5D9vw,autor,autor,@jorgecifuentes-m5g,1.0,1.0,,,
UCLggDc_a5HriXv7I1h02sOA,autor,autor,@guillermogonzalez5153,2.0,1.0,,,
UCLh1Kde4_vI1sTZBkTNP7RQ,autor,autor,@JoelReynoso-d4r,1.0,1.0,,,
UCN2N_wYOw6fMwCeSzdXLPIw,autor,autor,@danielantoniogonzalezflore4901,1.0,1.0,,,
UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,autor,@carlosmedranovelasquez6380,1.0,1.0,,,
UCNBnKqWf4d-rS4HwJRQljmQ,autor,autor,@LE_A22,2.0,1.0,,,
UCNIeXbV_mEwpa412h1aqUWw,autor,autor,@juandeleon9060,3.0,1.0,,,
UCNiMNUJvaRJb0_QLClqwVnA,autor,autor,@Santiago.Nolasco,1.0,1.0,,,
UCNkcuy42zEwddwEcOd_HpnA,autor,autor,@vanigomez492,1.0,1.0,,,
UCNpt5CQlTzNjlAKY6CJtClQ,autor,autor,@eustaquiogomez9975,1.0,1.0,,,
UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,autor,@elsalvador3605,1.0,1.0,,,
UCOARn3hnfkB7-_Rwa8Hoqcw,autor,autor,@nicelol5241,1.0,1.0,,,
UCOLGv5Pf6BF2wFcwUzgcvHg,autor,autor,@welfrealdana5559,2.0,1.0,,,
UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,autor,@luisroldan7374,1.0,1.0,,,
UCOS8ViEkccrTZx2w2ccxotA,autor,autor,@OscarHernandez-q8y,1.0,1.0,,,
UCOY3XpD9qMCRSA8AA8c4CAw,autor,autor,@franciscorodas9686,1.0,1.0,,,
UCOcUI5XkTYNMSFhZNMIPpGg,autor,autor,@hendersonlopez3864,1.0,1.0,,,
UCOh6DaZC_x9HASnlRylEMfw,autor,autor,@AndresMedina-v1s,1.0,1.0,,,
UCPLW0HE3siElqCgXfgWxMqg,autor,autor,@elizabethmonterroso7719,1.0,1.0,,,
UCPNXmbOBVeC4HS-xemvcPtQ,autor,autor,@BelkisRodriguezRamirez,1.0,1.0,,,
UCPZueDLrCS4BmTBRMA4q0fA,autor,autor,@kevinochoa3695,1.0,1.0,,,
UCQIdKuZ-OzuFqy0KjGrgesg,autor,autor,@lyacausa,1.0,1.0,,,
UCQM2tCKRRytVDRxNUfCDqQQ,autor,autor,@elioelias7267,1.0,1.0,,,
UCQMMuADgqWUOcJpLwHOzC-g,autor,autor,@Ripped-Yoda,1.0,1.0,,,
UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,autor,@MegaKristenstewart,2.0,1.0,,,
UCQgYjVngJRfPHDLGB5X6ZjA,autor,autor,@oscarnavas9996,1.0,1.0,,,
UCQqetiwzzmRNTM5OWuXarGQ,autor,autor,@isaiaslopezvelasquez1539,1.0,1.0,,,
UCQqlPPUGqAfWjd-FSh_qn7Q,autor,autor,@estuardoargueta137,1.0,1.0,,,
UCQtICyzWmhC5woCtbNgaSmg,autor,autor,@nestormendez6216,2.0,1.0,,,
UCQtSFINs1h6GHkpg9o5kMvg,autor,autor,@MacarioMartinezruiz,1.0,1.0,,,
UCQyOePccUP-fIJYzchAgZYw,autor,autor,@aguilar4254,1.0,1.0,,,
UCRAquv8el-tQ30bN7MlmySQ,autor,autor,@iamjimalesssa,1.0,1.0,,,
UCRETAiYdh2dL5ZxB0_N1zDA,autor,autor,@Joseroland21,1.0,1.0,,,
UCRcSR3Lvn9DZAmJpVPANfZQ,autor,autor,@WalksandSuch,1.0,1.0,,,
UCRelkU8JiZBytTzebJxaa-w,autor,autor,@danyraymundo2942,1.0,1.0,,,
UCRfkkatKrNtAARnXMMYBGlA,autor,autor,@BernerSoza-mg3vx,1.0,1.0,,,
UCRlCV9zSn7avAWh-9_XFWqQ,autor,autor,@ronyarana8849,1.0,1.0,,,
UCRvPToDkkumha7WJAfCDk1A,autor,autor,@ligiaguerra3057,1.0,1.0,,,
UCRznz9-N3Qc1w-qNdLSIY2Q,autor,autor,@jimmygomez724,1.0,1.0,,,
UCSTAUWVc1_82DHYeqOsqEFA,autor,autor,@TheAlexX_C,1.0,1.0,,,
UCSou6a2OuYGSvPjm5psquyA,autor,autor,@FranciscoRivera-sf7ne,1.0,1.0,,,
UCTD6q1nyIe3Y7HhqjaMj72w,autor,autor,@JuanChang-r6k,1.0,1.0,,,
UCTP3O0rMnc8z8v8jaDQwL0w,autor,autor,@RobertoZelaya-x1v,1.0,1.0,,,
UCTTILH6QCIxbTnEWxwRqs1g,autor,autor,@3762Jorge,1.0,1.0,,,
UCThW2XNsAaBKme5PUt7n-Zg,autor,autor,@thelmamoran8565,1.0,1.0,,,
UCTwSut16JyAg3mX6LVUNGqA,autor,autor,@SuperVictor2005,1.0,1.0,,,
