Red,Nodo,Grado
Autor-Autor,UC-QOpE7GOxlXcHZ8b7HbQKA,17
Autor-Autor,UC094EFEmMSdwVa8NQjjYBXg,6
Autor-Autor,UC1WlJfQmaIskYhP4gmWoamw,17
Autor-Autor,UC1Y7x3h0c95Z8kUhi-Tzaeg,18
Autor-Autor,UC2ngpd8UBQu4gcUYy0goAtg,12
Autor-Autor,UC3iIU62XKUOWuqL8BqBzj9A,6
Autor-Autor,UC4kg7zuTfqQKLd2bkZrSYBA,6
Autor-Autor,UC5PrBbmUlQolwqmiru7yZhw,6
Autor-Autor,UC5wuDq3U3vRAhOQI3D7gNdw,9
Autor-Autor,UC7IMsCxfZyWN7YQo8-JYa6Q,18
Autor-Autor,UC8xlJWNHz1V_W6q3fbuQH8g,18
Autor-Autor,UC9Wp6vL5oCU37qC3Aj94WZA,6
Autor-Autor,UCAV7QIjYhbDJaycQycM_0eQ,18
Autor-Autor,UCAxvOOHQk7dYPOajzFEVtbA,12
Autor-Autor,UCBlm80VQ4YoV3bUJR_XhkaQ,17
Autor-Autor,UCBtB5dIyx-C16UN8ClUD2UA,6
Autor-Autor,UCCUmP4PlbwgikVFpYwbtRTg,15
Autor-Autor,UCFFrEmn6lPYiWyElpfzTy5Q,6
Autor-Autor,UCGX_UbAQOXGZknv5iqklwTA,18
Autor-Autor,UCGZMgmM92E3njyXNe9-kjAQ,17
Autor-Autor,UCGj2v6Gl5bN8NSrzJMXS-CA,5
Autor-Autor,UCGm3gRBEHGRJYmtCryZLtDw,6
Autor-Autor,UCHGd14aYuZZShLD73dkk6mg,2
Autor-Autor,UCHu8x4MVkayU6VgwVKd--MQ,6
Autor-Autor,UCIXLDYqR_syskKRJy_x9W9Q,12
Autor-Autor,UCIgoiXdIKJyUGmUoH2Lxdzg,17
Autor-Autor,UCJp3OrVYcBorC94sKwdch_A,9
Autor-Autor,UCJxJC56BSAX-ArD0NAb9qnQ,1
Autor-Autor,UCKVzDUqbtdSMBcexaEtMmzQ,3
Autor-Autor,UCLXYp1Cvc5DLtq5UQL5D9vw,12
Autor-Autor,UCLh1Kde4_vI1sTZBkTNP7RQ,6
Autor-Autor,UCN2N_wYOw6fMwCeSzdXLPIw,18
Autor-Autor,UCNIeXbV_mEwpa412h1aqUWw,18
Autor-Autor,UCNiMNUJvaRJb0_QLClqwVnA,3
Autor-Autor,UCO0zwwLWGyDgQmWPJ5Qrr1w,12
Autor-Autor,UCOARn3hnfkB7-_Rwa8Hoqcw,5
Autor-Autor,UCOLHH4ZpMxPYF-Q6e6wvn5A,17
Autor-Autor,UCOY3XpD9qMCRSA8AA8c4CAw,15
Autor-Autor,UCPNXmbOBVeC4HS-xemvcPtQ,17
Autor-Autor,UCPZueDLrCS4BmTBRMA4q0fA,18
Autor-Autor,UCQIdKuZ-OzuFqy0KjGrgesg,2
Autor-Autor,UCQMMuADgqWUOcJpLwHOzC-g,17
Autor-Autor,UCTTILH6QCIxbTnEWxwRqs1g,15
Autor-Autor,UCVC2QugcI1G4RvlCiUqd1aQ,9
Autor-Autor,UCVQf0tzL7xRzFJsABVVULpg,18
Autor-Autor,UCVdjCrh4tQoX3haNAZv-n5A,17
Autor-Autor,UCVhif9eV0f8plICen2DnpKA,5
Autor-Autor,UCWWkebAekppaL5b5CNlppuw,2
Autor-Autor,UCXN2s7DwTJm33xO-pNkAdaA,12
Autor-Autor,UCXO1BBohNWXkK9SBDAG2ySg,15
Autor-Autor,UCXVLc8CmAO813ubM-fLvCDw,15
Autor-Autor,UCXl30Y_upRqbti52fmjK4YA,15
Autor-Autor,UCZIQnb1fkwe39Iw2TAu-bGA,5
Autor-Autor,UCZOmq6MwFDVoCaEl99BRRaw,9
Autor-Autor,UCZjm6U576nX8WOiLhmMR3bw,17
Autor-Autor,UC_3xuTXvMIWU5MYP9HkJ3vQ,12
