video_id,title,channel_name,category,grado_vv
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,2
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,0
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,3
n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,4
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,1
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,0
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,2
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,1
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,1
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,4
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,0
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,2
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,News & Politics,2
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,0
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,0
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,0
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,0
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,0
